iter	Logloss
0	0.6868552412
1	0.680288619
2	0.6761408242
3	0.6701067265
4	0.6650489913
5	0.6604058374
6	0.6549036306
7	0.649579537
8	0.644756452
9	0.6406697296
10	0.6379284091
11	0.6322495074
12	0.6276812148
13	0.6235581596
14	0.61909928
15	0.6150655393
16	0.6125768973
17	0.6085344261
18	0.6046395895
19	0.5995598472
20	0.5956560496
21	0.590621401
22	0.5867267196
23	0.5825194206
24	0.5785883252
25	0.5749766676
26	0.5702918911
27	0.5680165426
28	0.5642801411
29	0.5607950784
30	0.5575118357
31	0.5540305817
32	0.5508409722
33	0.5465080402
34	0.5440379332
35	0.5421841215
36	0.5391032018
37	0.5350886072
38	0.5326427264
39	0.5295049414
40	0.5265991871
41	0.5227555245
42	0.5197120066
43	0.5163789948
44	0.5139855641
45	0.5108796126
46	0.5088000129
47	0.5057612026
48	0.5041801227
49	0.5022252526
50	0.4991122188
51	0.4965696542
52	0.4943679628
53	0.4918542337
54	0.4893051483
55	0.4866252124
56	0.4836410436
57	0.4822963806
58	0.479750813
59	0.4770182434
60	0.4744855522
61	0.4723647248
62	0.4699078869
63	0.4669880007
64	0.4651006618
65	0.4629365057
66	0.4609319494
67	0.45808265
68	0.4566965251
69	0.454636964
70	0.4524097618
71	0.4513044956
72	0.4492035229
73	0.4472494677
74	0.4449505646
75	0.4424062599
76	0.4403477782
77	0.4383808222
78	0.4370532253
79	0.4353203234
80	0.4337245697
81	0.4320045322
82	0.4303443547
83	0.4285370606
84	0.4261520563
85	0.4243739948
86	0.4227513618
87	0.4211829981
88	0.4195550091
89	0.4185961954
90	0.4171609625
91	0.4158329549
92	0.4148090281
93	0.4128053916
94	0.4117665441
95	0.4097652053
96	0.4081156381
97	0.4070534692
98	0.4049824263
99	0.4037196075
100	0.4025667492
101	0.400834957
102	0.4000188387
103	0.3985219219
104	0.3967007175
105	0.3953583794
106	0.3940028112
107	0.3925863648
108	0.391293603
109	0.3897157123
110	0.3886325204
111	0.3874483344
112	0.3868343647
113	0.3862439933
114	0.385025074
115	0.3838542408
116	0.3824360339
117	0.3818718943
118	0.3810948395
119	0.3804934221
120	0.3795302139
121	0.3785281436
122	0.3776378752
123	0.3762382719
124	0.3752232784
125	0.3741107281
126	0.3733334991
127	0.3728120809
128	0.3716312395
129	0.3702054009
130	0.3690049282
131	0.3681091141
132	0.3667345833
133	0.365451091
134	0.3643563638
135	0.3630985906
136	0.3624161592
137	0.3611285034
138	0.360685822
139	0.3602650024
140	0.3592053346
141	0.3584969362
142	0.3580275591
143	0.3571188123
144	0.3560882385
145	0.3550322873
146	0.3540510477
147	0.352915601
148	0.3520710628
149	0.3509547724
150	0.3500535418
151	0.3490527998
152	0.3482388984
153	0.3476835512
154	0.3470551589
155	0.3459669177
156	0.3456005164
157	0.3447323278
158	0.343612483
159	0.3433010393
160	0.3422953946
161	0.3415040085
162	0.3411995408
163	0.3404695174
164	0.3400671438
165	0.3391870353
166	0.3383974269
167	0.3376547535
168	0.3367154172
169	0.335946926
170	0.3354395411
171	0.3346646254
172	0.3339420479
173	0.3336898715
174	0.3328380748
175	0.3321816712
176	0.3314356603
177	0.3307806464
178	0.3301858734
179	0.3294917859
180	0.3291589172
181	0.3284851189
182	0.3278181263
183	0.3271563428
184	0.326810825
185	0.3261143037
186	0.3254734094
187	0.3248117562
188	0.3242579014
189	0.3233658865
190	0.3226333476
191	0.3223300888
192	0.3219538178
193	0.3213468454
